,Injury.Severity
1176,Non-Fatal
1177,Non-Fatal
1178,Non-Fatal
1179,Non-Fatal
1180,Non-Fatal
1181,Non-Fatal
1182,Non-Fatal
1183,Non-Fatal
1184,Non-Fatal
1185,Fatal(3)
1186,Non-Fatal
1187,Non-Fatal
1188,Non-Fatal
1189,Non-Fatal
1190,Non-Fatal
1191,Non-Fatal
1192,Non-Fatal
1193,Non-Fatal
1194,Non-Fatal
1195,Non-Fatal
1196,Non-Fatal
1197,Non-Fatal
1198,Non-Fatal
1199,Fatal(4)
1200,Non-Fatal
1201,Non-Fatal
1202,Non-Fatal
1203,Non-Fatal
1204,Non-Fatal
1205,Non-Fatal
1206,Non-Fatal
1207,Non-Fatal
1208,Non-Fatal
1209,Non-Fatal
1210,Non-Fatal
1211,Non-Fatal
1212,Non-Fatal
1213,Non-Fatal
1214,Non-Fatal
1215,Non-Fatal
1216,Non-Fatal
1217,Non-Fatal
1218,Non-Fatal
1219,Non-Fatal
1220,Fatal(1)
1221,Non-Fatal
1222,Non-Fatal
1223,Non-Fatal
1224,Non-Fatal
1225,Non-Fatal
1226,Non-Fatal
1227,Non-Fatal
1228,Non-Fatal
1229,Non-Fatal
1230,Non-Fatal
1231,Non-Fatal
1232,Non-Fatal
1233,Non-Fatal
1234,Non-Fatal
1235,Non-Fatal
1236,Non-Fatal
1237,Non-Fatal
1238,Fatal(4)
1239,Non-Fatal
1240,Non-Fatal
1241,Non-Fatal
1242,Non-Fatal
1243,Non-Fatal
1244,Non-Fatal
1245,Non-Fatal
1246,Non-Fatal
1247,Non-Fatal
1248,Fatal(1)
1249,Non-Fatal
1250,Incident
1251,Non-Fatal
1252,Non-Fatal
1253,Non-Fatal
1254,Non-Fatal
1255,Non-Fatal
1256,Non-Fatal
1257,Non-Fatal
1258,Fatal(1)
1259,Non-Fatal
1260,Non-Fatal
1261,Non-Fatal
1262,Non-Fatal
1263,Non-Fatal
1264,Non-Fatal
1265,Non-Fatal
1266,Non-Fatal
1267,Non-Fatal
1268,Fatal(2)
1269,Fatal(2)
1270,Non-Fatal
1271,Non-Fatal
1272,Non-Fatal
1273,Non-Fatal
1274,Non-Fatal
1275,Non-Fatal
1276,Non-Fatal
1277,Non-Fatal
1278,Non-Fatal
1279,Non-Fatal
1280,Non-Fatal
1281,Fatal(2)
1282,Fatal(1)
1283,Incident
1284,Non-Fatal
1285,Non-Fatal
1286,Non-Fatal
1287,Non-Fatal
1288,Non-Fatal
1289,Non-Fatal
1290,Non-Fatal
1291,Fatal(2)
1292,Fatal(1)
1293,Non-Fatal
1294,Fatal(3)
1295,Non-Fatal
1296,Non-Fatal
1297,Non-Fatal
1298,Non-Fatal
1299,Non-Fatal
1300,Non-Fatal
1301,Non-Fatal
1302,Non-Fatal
1303,Non-Fatal
1304,Non-Fatal
1305,Non-Fatal
1306,Incident
1307,Fatal(4)
1308,Non-Fatal
1309,Non-Fatal
1310,Non-Fatal
1311,Non-Fatal
1312,Non-Fatal
1313,Non-Fatal
1314,Non-Fatal
1315,Fatal(1)
1316,Non-Fatal
1317,Non-Fatal
1318,Non-Fatal
1319,Fatal(1)
1320,Fatal(1)
1321,Non-Fatal
1322,Non-Fatal
1323,Non-Fatal
1324,Non-Fatal
1325,Non-Fatal
1326,Non-Fatal
1327,Non-Fatal
1328,Non-Fatal
1329,Non-Fatal
1330,Non-Fatal
1331,Non-Fatal
1332,Non-Fatal
1333,Non-Fatal
1334,Non-Fatal
1335,Non-Fatal
1336,Non-Fatal
1337,Non-Fatal
1338,Non-Fatal
1339,Non-Fatal
1340,Non-Fatal
1341,Non-Fatal
1342,Non-Fatal
1343,Non-Fatal
1344,Non-Fatal
1345,Fatal(8)
1346,Non-Fatal
1347,Incident
1348,Fatal(1)
1349,Fatal(2)
1350,Fatal(3)
1351,Non-Fatal
1352,Non-Fatal
1353,Non-Fatal
1354,Non-Fatal
1355,Non-Fatal
1356,Non-Fatal
1357,Non-Fatal
1358,Fatal(1)
1359,Non-Fatal
1360,Non-Fatal
1361,Non-Fatal
1362,Incident
1363,Non-Fatal
1364,Fatal(5)
1365,Non-Fatal
1366,Non-Fatal
1367,Non-Fatal
1368,Non-Fatal
1369,Non-Fatal
1370,Non-Fatal
1371,Non-Fatal
1372,Non-Fatal
1373,Non-Fatal
1374,Fatal(4)
1375,Non-Fatal
